mid-June; lawsuit; anti-abortion advocates.; country.; police.; martial-arts weapon; police; compliance.; nunchakus; Hundreds; Los Angeles Police Department; demonstrator; persistent complaints; serious injury; numerous suits; double standard.; widespread calls; national movement; national conscience; recent months
Long Beach-bound Exxon oil tanker; reef Friday; gallons; mid-channel; crude oil; Alaska; people; Environmentalists; environmentalists; wildlife hurt; calm; 987-foot tanker; kayakers; spilling oil; Alaskan oil spill; northernmost ice-free port; tourists; Exxon Valdez; time; icebergs
halt; government; forest fire policy; co-chairman; start; recommendations Thursday; Charles Philpot; air; environmental benefits; panel; wildlife; Residents; new species; Experts; panel; report; policies; report; park; moratorium
sentimentalists; 83-year-old Johnny Kelley; him.; race run; won.; storied history.; 60th Boston Marathon; historic route; Boston.; race.; late stages.; editions; Boston marathons; reckless speed duels; early speedsters; patient; early pacesetters; race; times; race
Prolonged drought; bark beetles; rare fungus; brush; fire-season announcement; trees; mountain-canyon slopes; Monday; healthy trees; city; wildfire seasons; brush; Western states; residential districts; firefighting forces; potential; Monday; vulnerable foothills; region; map
lawmakers; Communists; leaders; Monday; full sovereignty; state; rival Serbia; immediate reaction; prosperous northern republic; Slovenia; new authorities; proposals; secession; center-right parties; coalition; new Parliament; parliamentary declaration; federal laws; year; joint session
Ben Johnson; Olympic gold medal; drug scandal; Has-Ben; Canadian pride; nation; event; hero; people; nation; Glory; spirit; hedge; trade; duck reporters; Wayne Gretzky; John Furedy; mational psyche; Black Day; nation
Central American; Caribbean governments; interest; imminent US statement; economic dislocation; measures; opposition; quick action; coalition; Washington; US proposals; Nafta; region; comprehensive package; result; free access; Nafta; Nafta; leaders; possible diversion
Solar telescopes; views; flare-producing sunspots; nature; childlike delight; mountains; Several people; wonder; helmets; children; Views; festival atmosphere; Ed Krupp; lively crowd; second-stage smog alert; event; giant group; director; people; percentage
week; flare-up; Western wildfires; damage; weatt; candle; Forecasters; dry August; local areas; U.S. history; Fire; Sandi Sacher; territory; officials; natural part; Western forest; weaer August; record-breaking fire season; hardest-hit areas; Fire
Allegations; police racism; city; brutality; progressive attitude; decades; city; city; Chris Nisan; progressiveness; outside review; image; Laux; John Laux; racial harmony; whole society; minority leaders; progress; Councilwoman Sayles Belton; problem
lightning-sparked fire; Utah; control; rain; firefighters; area; Zion National Park; line; people; acres Tuesday; problem; place; major fires; Hundreds; evacuation; care; Authorities; 2,000-acre forest fire; Freemont Lake; country
men; women; nation; wildfires; lives; judgment; new studies; heat; unseen hazard; reaction; flames; protection; damage; researchers; health; Darold Ward; poisonous stew; grasslands; Mark Linane; siege
chronology; related developments; cleanup; Exxon Valdez oil spill
current civil engineering project; multibillion dollar link; Europe; historic isolation; Britain; three-tunnel thoroughfare; undug part; Chunnel; economy; Chunnel; dream; success; day; Random samplings; Eurotunnel; time; subsequent efforts; ills; investment money; unified marketplace
clues; meaning; key words; phrases; debates; solemn pledges; Members; United States; affirmation; safe defense; First Congress; authors; Virginia; state; liberty; person; prohibition; states; significant changes; power
chapter; medicine; bizarre mysteries; tale; sick sheep; Pennsylvanians; cannibals; suspicious regularity; form; public-health enemy No.; work; spongiform encephalopathy; critical mass; Spongiform research; cognition; family; mid-1980s; spongiform; mad cows; special intensity
INVESTORS; money; diamond mine; River Limpopo; heat; USDollars; Australian-quoted company; documentation; Redaurum; diamond business; politics; Beitbridge; Venetia; equipment; mine; diamonds; site; region; site; Auridiam
MR Lewis Preston; World Bank president; yesterday; efforts; bank; benchmark; funding; performance; US; countries; design; lending; Officials; operations; people; diversity; governments; bank; development institution; Clinton administration
Carl Lewis; Ben Johnson; performance-enhancing drugs; blocks; sponsor; rounds; 100-meter final last fall; allocation; action; beer; interview Sunday; Canadian inquiry; stories; caged lion; officials; difficult-to-detect stanozolol; sport Monday; anybody; Lewis; athletes
source speaking; condition; anonymity; brutality.; climate; confidential.; panel report; critics; civilian control.; commission; days; minority suspects.; existence; comment Monday; time; management issues; secret testimony; gorillas; Gates; officers
television networks; eclipse; prime time; nature; eyes.; p.m.; shadow.; fog.; diameter.; dark.; sun.; rays.; a.m.; golfers; San Jose; shadowy round; moon block; eye damage.; film negatives; spot
matter; weeks; Thomas; story.; wrongheaded.; public condemnation.; ruler-slapping discipline; bitter controversy.; courage; man; role; opportunism.; independent course; philosophical transformation; President Bush; homespun homilies; poetic recollection; friends; conservative Supreme Court.; foes
United Airlines DC-10; half-mile; runway; fireball; pieces; eyewitness; persons; U.S. history; others; Richard Vohs; Chicago; Charles Mertz; survivors; Philadelphia; original estimates; survivors; upside-down section; number; Colo.; emergency landing Wednesday afternoon
brief look; forest fire developments; Western states
Charlie Francis; urine sample; sprinter Ben Johnson; acquaintance; steroid; Seoul Olympics; American athletes; drug-testing area; Lynda Huey; Seoul; showdown; preparations; beverage; Johnson; NBC-TV; Tuesday; sport; Seoul; Canadian inquiry; old friend
single-engine airplane; Tuesday; ditch; dirt road; outskirts; authorities; people; State police; nobody; Ramazzini; people; Walter Ramazzini Jr.; Ramazzini; Ramazzini; witnesses; adults; Ramazzini; child; Ramazzini; investigation
flow; passengers; Los Angeles International Airport; likely companion; First; police detective Clayton Searle; Searle; fellow narcotics officer; police use; Gary Trichter; criticism; former ballplayer; partner; Monday; telephones; bank; William Barnes; words; men; Oakland businessman
major earthquake; region seismologists; San Francisco Bay area Tuesday; probability; report; area; area; strong quake; area; information; preventive steps; Northern California; report; roadways; high probability; something; overpasses; area; Calif.; officials
Cheers; Saturday; men; sides; chunnel; Today; English Channel; breakthrough; draw; French workers digging; passage; Channel Tunnel; engineering project; passage; brilliant sign; tunneling; symbolic milestone; rail tunnels; Sangatte; tunnelers
director; county Social Services Agency; Orange County residents; illegal aliens; position; people; city; actual population; residents; Census; Board; efforts; Larry Leaman; count; exclusions; Latinos; major boost; residents; groups; action
last month; pines; Mount Palomar area; boards; months.; moisture; houses.; Firefighting; lumber yard.; pilots; San Diego; area; ocean.; Ore.; year; Dakotas.; area; aggressive approach; flammable greasewood.; California
Black Americans; times; important reason; tuberculosis; research; whites; study; study today; people; genetic susceptibility; population; crowded housing; real holes; times difference; black people; disease; high rate; innate susceptibility; Stead; Dr. George Curlin
Hawaii; Mexico; people; Central America; Foothill Observatory.; ring; fog.; eclipse.; scientific experiments.; Eclipsefests; Matthew Mauranoh; stunning scientists; years.; sun; dazzling fountain; region; went.; view; planetariums; 160-mile-wide swath
owner; Scott; state courts; U.S.; Missouri; free territory; freedom; post-Reconstruction period; self-defense; infamous rulings; discontent; persons; respect; estate; events; person; era; white man; Scott; overt racism
third presidential candidate; Colombia; government; Friday; next month; election; U.S.-backed crackdown; people; violence; communique; man; responsibility Friday; Leaders; assassination; Government officials; empire; bullets Thursday; government; government; Pizarro
Valdez; Alaska; Coast Guard; Saturday; spill-response office; Exxon Valdez; Juneau; fresh oil sheen; spill-response fund; complete cleanup; wildlife-rich sound; site; shininess; Lower; Time-Consuming Repairs; spill-related bills; states; Oil; surface; Alaska
world; national theologies; communism; sanity; America; civil-libertarians; worship; apartheid; guns; foreigners; outbreak; composition; thing; political topics; everyone; Kates; gun control; three-quarters; free-speech guarantee; Kates
rains; everything; weeks; mid-June.; Lisa Boyd; spokeswoman; spawned.; Everyone; heavy vegetation.; people; people; tinderbox; 100s; state; Mauldin said.; December freeze.; wild lands; year; back-country stations; Statewide
names; hurricanes; powerful punches; well-watered conditions; Hugo; year; probability; devastation; m.p.h.; low latitudes; possible return; second rainy summer; m.p.h.; Saffir-Simpson scale; apparent break; m.p.h.; future; No.; wide swath; Earth
Alberto Fujimori; Peru; Senderlogos; next president; administration; part; question; democratic legality; much-needed leadership; existence; basic data; progress; fundamentals; Mr. Belaunde; civilian authorities; inept leader; strong disagreement; liberal approach; July; human-rights offenders
MAN President Bill Clinton; task force; free trade pact; back-room political arm-twisting; Canada; experience; Opposition; thing; tangible supporter; William Daley; Pounds; Nafta position; Dollars 1m; Washington; Mexico; public brother; talents; side agreements; Nafta; Daley
land; magnificent subtleties; aftermath; spectacular season; vegetation; fire; enough timber; controversy; pristine landscape; death; meadow; last summer; devastation; infernos; sky; Once-lush hillsides; inspiring process; widowmakers; patternless swirls; glorious hues
scene; golden days; Ben Johnson; media; news conference; confidence; promise; No.; Overweening confidence; Italy; today; scene; bluster; accolades; public; pervasive skepticism; people; winner; form; shame
moderate earthquakes; parts; world; tremor Monday; normal day; Nev.; Nev.; Waverly Person; New Marid; Marked Tree; 5.9-magnitude temblor; equipment; Mo.; scientist; residents; area; prediction; Ill.; Ark.; equipment
spring thunderstorms; beginning; unofficial tornado season; many people; mid-November; Texas; state climatologist; Tornado Alley; People; April; nation; people; plans; development; twisters; forecaster; low profile; much preparation; people; June
Thomas; brother; white world; welfare.; plumbing.; advancement.; sister; lot.; daily counseling; bigotry.; vision; Leola; hostile world; secure freedom; national television Monday; compassionate thing; oversight; veterans; individualism; children
greedy rush; diamonds; miners; private-enterprise diggers; Canada; Dollars 1m-worth; Angola; hectic activity; Endiama; anyone; Canada; questions; murky world; Stakers; unprecedented explosion; prospectors; Canada; diamond business; rise; small diamonds
Tuberculosis; alarming health officials; new health threats; connection; satisfaction; N.J.; percent increase; Snider; AIDS virus; Snider; situation; ravages; decades; Reichman; tuberculosis; control; Dr. Annik Rouillon; hope; victims; cases
link; poor ventilation system; stale air; another.; co-workers.; building; building; oxygen; end.; People; end; air; poor ventilation.; building; Richmond; fresh air; Millions; various studies; energy; Nardell
critics; supportive spouse; court.; husband; roots.; lobbying; anti-cult activities; Lifespring; Labor.; Senate confirmation hearings; motivational group.; woman; Clarence; comparable-worth legislation; different symbolism.; colorblind society; Tuesday; former involvement; strong opinions; government programs
B-52 bomber; burst; today; flames; Members; weapons; ground; N.J.; officials; Neb.; Fla.; runway; touch-and-go approaches; Pa.; Minn.; Lt. Naomi Siegal; one; upgrade pilot; Ariz.; Ga.
focus; drought; nation; little relief; sight; addition; Mid-Atlantic states; anticipated harvest; sharp reductions; areas; improvement; many crops; medium-range outlook; national picture; little hope; relief; short-range forecast; new short-range forecast; normal weather; dark cloud
Proposals; terms; members; propaganda; pundits; Congress; Students; state legislators; government; interest-group lobbyists; people; subject; polls; proven vote-getters; People; vote; stories; name recognition; non-incumbents; inaccessible officials
smoke; long years; US Congress; week; law-abiding citizens; 200m guns; single step; game hunters; failings; legal sales; likely ineffectiveness; legislation; stubborn resistance; people; journey; assassinations; handguns; victory; government; US
Public officials; California; U.S. Senate vote Thursday; California; D.C.; illegal aliens; action; Major Impact; self-serving interests; Congress; Authorities; great confusion; census; Friday; hopes; Loss; state; urban Democrats; major impact; population gains
Angel; followers; journey; E-day; weight.; capital.; minutes.; elaborate sound-and-light show; eclipse.; sun-worshiping Aztecs.; surface.; extra cars.; Californians; promising site; many Mexicans; hawk; scores; pyramids; Kailua.; people
annual Agriculture Department survey; Thursday; deadening drought; bountiful crops; fall corn harvest; farmers; marketing year; government officials; new surveys; food; retail food prices; stockpiles; actual shortages; food-aid commitments; USDA experts; fears; food; relief bill; D-Vt.; reading
US administration; go-ahead; pilot plans; Wisconsin; overhaul; experiments; pioneer; welfare benefits; Wisconsin plan; Schoolfare; two-year limit; food stamps; promise; Aid; cash payments; Georgia; important theme; pilot scheme; central feature; experiments
Los Angeles County district attorney; office; videotaped incident; FBI; face; everything; black man; man; independent investigation; investigation; long-standing problem; case; full-fledged investigation; inquiry; morning; ticket; federal investigation; men; matter; Tuesday
LOS ANGELES Police Chief Daryl Gates; brutal police forces; country; attack; violence; standing; yesterday; acquittal; poor black neighbourhoods; Police; scale; politicised force; political clout; siege mentality; results; removal; complete protection; attack; violence; department
DAMAGE; Hurricane Andrew; Dollars; US storms; devastating landfall; century; damage; havoc; light damage; brunt; disaster losses; people; yesterday; Government officials; Pounds 7.5bn-Pounds; Galvestone; city; brunt; property/casualty; coastal areas
Agriculture Department; top; drought; worried callers; paper; blotter-like furnaces; backgrounders; drought-related actions; bird cages; informational gimmicks; situation; USDA Backgrounder; hotlines; people; ACR; Mexico; time; enough statements; separate drought; CUA
Elizabeth Taylor; complications; new infections; fifth week; recovery; hospitalization; Visitors; doctors; statement; Michael Wilding; Friday; publicist; doctors; week; weeks; doctors; Liza Todd-Tivey; Ms. Sam; private room; doctors
French DC-10 jetliner; people; powerful high-altitude explosion; terrorist bomb; people; remote desert region; officials; Niger; France; France; pro-Syrian forces; Washington; intelligence specialists; France; action; war-torn country; French government; Anonymous callers; northern Africa; support
Mad cow; disease; enigmatic nervous disorder; trade friction; thousands; Britain; cattle; subject Topic; Friday; mysterious ailment; Europe; bovine spongiform encephalopathy; mid-1980s; humans; scrapie; health fears; industry officials; Concern; BSE; Patrick Barrow
steady decline; threat; tuberculosis; complete statistics; progress; Thursday; last year; slowing; TB; people; federal health researchers; weekly report; number; persons; reason; slight drop; U.S. tuberculosis cases; occurrence; Hispanics; serious illnesses
major earthquake; Richter scale; Solomon Islands; area; preliminary reading; Nov.; local area; U.S. Geological Survey; Colo.; South Pacific today; seismographs; areas; measure; today; world; small changes; USGS spokesman; many casualties; Solomons; immediate reports
Lightning; West ablaze; summer; electricity; Reed Jarvis; nation; wildfire command post; specialists; Ore.; whole place; wildfire battles; blazes; slogan; quartermasters; name B-L-O-U-G-H; strategists; Magnets; major conflagrations; Others; location
percent; general population; -LRB-408-RRB- 287-3785; McNamara said.; Hispanics; diabetes; language.; regular programs; bilingual instructors.; clinic Saturday; Registration; McNamara said.; a.m.; many Hispanics; Hispanics; strong American Indian ancestry; McNamara said.; contracting diabetes.; monolingual Spanish-speaker; Eighty percent
tanker; nation; oil spill; third mate; vessel; problem; oil; abundant wildlife; reef; slick; oil; ship; Riki Ott; cleaning; clean-up efforts; Exxon Shipping Co.; lost income; cleanup; supertankers; state resources
official statement; Friday; federal military commanders; ways; dissent; March; current issue; part; foreign-backed conspiracy; evaluations; statement; reports; later meeting; political dissidents; Slovenia; year; available data; official publication; Information Ministry; discussion
Thomas; Republican ranks; advocate; bootstrap conservatism; nomination.; liberal faction.; striking change; civil-rights pioneer; year; legacy; world; anchor; weight; age; new majority; liberals; Marshall; conservatives; television licenses.; opposition
glance; developments today; crash; Wednesday night; Lockerbie; people; people; Scotland; Pan American World Airways Flight; ground
government; northern republic; Slovenia; statement; Friday; Serbia; comprehensive control; joint existence; Delo; political uniformity; single truth; Slovenian presidency; economic contacts; official party; decision Tuesday; collective presidency; Slovenia; pro-Serbian rally; prosperous Slovenia; authoritarianism
earthquake; people; Armenia; last year; earthquake-related death toll; Monday; Nov.; year; half-million; whole number; level; people; Aug.; Aug.; people; Chinese earthquake; world; times; addition; exact toll
controversial videotape; nonviolent demonstrators; activists nationwide shows Los Angeles police officers; fingers; anti-war radicals; pain-compliance; pro-choice liberals; noses; anti-abortion Republicans; law-and-order conservatives; traditional political alliances; rhetoric; opponents; pain-compliance; knuckles; cities; protesters; conservative hawks; anti-abortion cause; time
U.S. Air Force war planes; Operation Desert Shield; hours; previous deployments; flight operations; rash; EDT; U.S. air missions; U.S. military buildup; Pentagon; majority; flights; crashes; briefings; Capt. A.C. Roper; regular training flight schedules; operational missions; Aircraft; number; safety awareness
Sen. Howard Metzenbaum; D-Ohio; views.; D-Del.; R-Pa.; 1980s.; Senate Judiciary Committee; D-Vt.; justices; D-Maine; others; nobody; free ride; abortion; R-Utah; Specter said.; Columbia.; Metzenbaum; Today; right
UK; strong backing; Brussels today; Germany; BSE; fear; ban; Germany; bovine spongiform encephalopathy; British officials; yesterday; Germany; action; prime mover; Bonn; Britain; commission officials; series; Health ministers; British beef exports
CSO; Article; Anda Mikelsone; Number; DIENA; Ceplisi; Feb.; Riga; Latvia Increases; Inta Pavlovska; total number; I. Pavlovska; director; data processing; Ogre rayon; year; Tuberculosis Cases; nation; shortcomings; registry division
Suspected communist rebels today; police chief; Philippines; escalation; street violence; major financial center; police; day; Col. Herminio Taylo; public officials; jogging; NPAs; killing; fruit; government; people; weeks; capital area; Ileto; assasination attempts
BFN; Seoul; YONHAP; May; assassination; announcement; government; lawyer; Dec.; President Pak Chong-hui; Dec.; political motive; coup d'etat-like incident; assassin Kim; Army; joint military-prosecution investigation team; Dec.; evidence; slaying; mutiny
calm waters; efforts; Prince William Sound; oil spill; U.S. history; northermost ice-free port; ship; officials; Golob; Bligh Reef; situation; danger area; U.S. history; Exxon officials; use; fiords; Richard Golob; plans; efforts; oil
Mad cow disease; cattle; export market; Britain; cattle industry; fears; government; scientists; Martin Raff; everyone; safety; remote risk; recognition; human health; pressure; scrapie; beef; suspicion; disease; Gourlay
Firefighters; upper hand Friday; 8,200-acre brush fire; structures; people; people; Officials; battle; damage; remote canyons; Lake Elsinore; various structures; troubles; Landscape Dean McAlister; landscape; wind; public; Residents Return Residents; officials; sections
Hurricane Chantal; season; Texas; day; storm; particular concern; hurricane season; building; crewmen; hurricane classification; m.p.h. Officials; Chevron Corp.; coastal residents; miles south-southeast; winds; land; Chantal; Chantal; center; m.p.h.
stone; smelly Smithfield meat market; office building complex; sign; Londoners; experts; anything; gold-colored interior; mounds; jumpy guards; Central Selling Organization; 56-year-old cartel; London-based marketing arm; wealth; secretive world; prosperity; control; major sources; risk; annual production
split; tree stump; clue; lightning; forest fire; Carbon particles; exhaust; military-neat office; Smallwood; year; criminal investigator; Dale Smallwood; Smallwood; glass-doored bookcase; Arsonists; man; truck; regional traditions; study; Smallwood
small motor home; Joanne Pierluissi; sleeve; nurse Mary Perez; needle; Hispanics; blood; researchers; deadly killer; Hispanics; Hispanics; population; daughters; forearm; grassroots study; vein; Pierluissi; four-member team; increases; Hispanics
unique subset; people; time; folks; May.; Vienna.; companies; wall.; discounts.; tours; closed city; result; Bangkok; competition; cities; marathon vacations; Skiers; sport; Gilligan; Stockholm
BFN; report; Angel Paez; alternate members; Reafirmarse; Oscar Ramirez Durand; leaders; members; conclusions; war; leader; Comrade Feliciano; Path Central Committee; information; Conquer Power; document; government; Path congress; Razuhuillca; reality
forms; census; printers; Congress; Ariz.; question; R.; Wis.; Ala.; R.; census-program director; residents; Pa.; D.; R.; nation; regional politics; Organizations; Wisconsin; past
days; hearings; report; widespread segregation; police brutality; third-largest city; machine politics; demonstrable change; new mayor; old wounds; Daley; Daley; empowerment; Daley; city; Daley; Bob Starks; Daley; mayor; black politicians
sides; changes; census; results; population expert; way; pressure; Wednesday; country; Groups; national head count; California; everyone living; flip-flop; States; large concentrations; states; breakfast briefing; final census; states
Local news reporters; witnesses; plane; earth; sensitive time; travel industry; people; travel; travel; Moments; area; four-day workweeks; area; fears; load; crashes; employees; Hawaii; crash; travel sector
new findings; Mr. Gray; summer; average; tropical storm season; storms; yesterday; research; early warning; powerful updrafts; rainclouds; year; Weather researchers; coastal residents; area; change; sharp decrease; rate; indicators; strength
investment; American taxpayers; question; welfare system; reform; today; new spending; legislation; piece; level; House; new spending; welfare-to-work programs; bill; funders; benefits; bill; questionable premise; thinking; special education
Coast Guard Commandant Paul A. Yost; Tuesday; Exxon; plan; politicians; Consumers; Alaskan oil spill; specifics; subsequent increases; Yost; environmentalists; campaign; figures; state officials; Mass.; Yost; actions; plan; others; Alaskan headquarters
Exxon crews Tuesday; crude oil; tanker Exxon Valdez; preparation; fugitive captain; signals; nation; source; Authorities; Ore.; oil-catching boom; Canadian authorities; still-leaking ship; giant explosion; worst-ever oil spill; policy; Exxon Valdez; ship; questions; vessel
official opening; Channel Tunnel; year; north-west regions; tunnel-opening; country; chunnel; area; Overnight; Belgium; corner; TGV; ports; centre; potential; study; traffic; region; Europe; area
Senate today; brushing; complaints; conservative civil rights official Clarence Thomas; federal appeals judge; D-Ark.; D-Ohio; R-Wyo.; D-Mont.; record; EEOC; senior citizens groups; new post; investigation; action; Romania; Bulgaria; Senate; Pryor; Pryor
Backed; public antipathy; Exxon Valdez oil spill disaster; Gov. Steve Cowper; Thursday; trans-Alaska oil pipeline; ARCO Alaska; owners; six-page list; six-point safety plan; safety; location; oil-spill gear; routine operations; continuation; 10-million-gallon spill; Demonstration; autopilot; plan; cleanup measures
signs; Hurricane Andrew; inhabitants; substantive programmes; re-election campaign; Florida; asset; performance; assignment; government; political benefit; First responses; power; assistance; initial response; typical arm; Louisiana; offer sympathy; incumbency; situation
drought; upper Midwest _; North Dakota; state; four-part series; third story; disaster relief aid; farmers; Drought; disaster aid program; need
America; drought; attention; politicians; Washington; disaster relief measure; U.S. history; money spread; drought; Associated Press
California; labour leaders; environmentalists; Perotistas; site; Nafta foes; Anti-Nafta crusaders; Pounds; foes; Nafta opponents; War; plot strategies; Nafta; organisers; Nafta foes; signing ceremony; alternative menus; Nafta; Mr Ross Perot; anti-Nafta czar
BFN; Tokyo; F-15 fighter; U.S. Forces; DFAA; DFAA; DFAA; DFAA; USFJ; routine training; investigation; Okinawa; Kadena Air Base; thorough investigation; details; commander; U.S. side; safe management; U.S. Forces; U.S. military aircraft
black Georgia; toughening; decades; September.; government activism.; Georgia.; sharecropping; living.; press; individualism; hard-eyed grandfather; baby-boom ambition; several years.; Clarence Thomas; many liberals; personal strength; Republican presidents; traditional liberals; land; independent spirit
U.S. military helicopters; Sunday; wreckage; plane; Witnesses; D-Berkeley; D-N.Y.; others; Wreckage; site; U.S. rescue; Ethiopians; everyone; military paratroopers; Ackerman; survivors; outpouring; expert; sadness; Ackerman
City Council today; county prosecutors; conduct; plate-glass window; white policeman; information; incident; Curt Livesay; community; off-duty black policeman; high-crime area; Councilman Thomas J. Clark; request; enough evidence; city; investigation; City officials; probe; council; office
Language; BFN; Spanish Article Type; reconciliation; shock force; Path; government favor; debates; opposition; Tapia; semi-legal party operating; documents; country; Feliciano; commitment; leadership; freedom; several prisons; proposal; Guzman-led faction
argument; merits; gun control laws; free State; militia; Second Amendment states; national document; U.S.; application; words; legal significance; subjects; security; people; simple English sentence; Bill; protection; status; right; view
hours; much-needed edge; steady rain Monday afternoon; crews; complete lines; illegal fireworks; lines; blaze; officials; burning; growth; backcountry; 100-man patrol; Crews; rainfall; line; total number; water; bulldozers; acres
real case; suspect.; Santa Clara County police agency; officers.; attitudes.; sustain.; secrecy.; officer; laughed.; police report; face.; procedures; MacNamara; district attorney.; MacNamara; None; Communities; bike; investigation; organizational attitude
Los Angeles County district attorney; office; Friday; several physicians; charges; investigation; allegations; standard; criminal intent; conduct; report; practices; alternative means; medical practice; report; therapy; 35-year addiction; painkillers; doctors; treatment
Path rebels; new front; insurgency; Lima; blocks; decade-old insurgency; atmosphere; coastal urban areas; support; violence; President Alan Garcia; political violence; people; rebel attacks; identification; weekend raids; powerful car bombs; free-market activist; country; people
correspondent; removal; American citizens; guns; total regulations; implementation; private uses; scrutiny; gun-control legislation; legislation; many rights; Staggers bills; undeniable right; something; additional measure; control; nothing; debates; nothing; regulation
year; drought; Midwest; droughts; Thursday; satisfying response; new computer study; brief description; report; ocean temperature abnormalities; temperature abnormalities; several states; Friday; meteorologists; dryness; April-June period; issue; Kevin E. Trenberth; Md.; study area
nature; vicious spectacles; tornado; America; annual assault; long-term average; nation; Meteorologists; nation; danger; preparedness; Last year; changeable spring weather breeds; country; public awareness; States; twisters; storms; record; clouds
Office; Fair Trading; Tuesday; anti-competitive practices; complaint; information; watchdog body; U.S.; abuse; Minorco; monopoly; investigation; investigation; investigation; inquiry; defensive move; London; Minorco; London-based diamond cartel; company
top West German military official; Saturday; popular support; fiery crash; people; city; Remscheid; defense realities; public support; hard facts; U.S. Air Force jet; national defense programs; East-West struggle; recent polls; defense issues; people; public support; U.S. base; rubble; security preparedness
Language; Serbo-Croatian Article Type; BFN; Article; Verica Rudar; atmosphere; Message; Ljubljana; businessmen; negative attitude; announcement; attitudes; long-term project; FRY Ministry; logical conclusion; extreme policy; information; Yugoslav diplomats; official statements; statements
SQUADS; workers; storm-battered Louisiana yesterday; massive rebuilding effort; whole districts; widespread destruction; fury; storm-related injuries; agencies; Hurricane Andrew; delay; people; local officials; people; people; improvements; north-eastern US; residents; Official; distribution problems
hurricane expert; turbulent summer; storms; Atlantic Ocean; populated areas; storms; William Gray; seas; average; Friday; year; Forecasters; presence; average; professor; predictions; prediction; pattern; average hurricanes; paper
first major hurricane; director; National Hurricane Center; beat Tuesday; reporters; questions; Bob Sheets; newspapers media; budget analyst; interest; calm personality; minute; media interviews; interviews; weekend; flattop haircut; director; transition; distinctive style; century
Thursday; solar eclipse; hundreds; plastic.; umbraphiles; darkness.; Coronas.; details; sun; Californians; audience; Local planetariums; window.; sunstruck people; customers; way people; international ritual; Eyeshades; calls; people
reason; term limits; politics; many people; RichardLamm; old-boy network; career incumbents; office; new people; white incumbents; districts; Today; new ideas; power; incumbents; turnover; Sherry Bockwinkel; politics; longterm incumbency; minority
Officials; residents; U.S. Virgin Islands; everything; temporary jog; nearby islands; Puerto Rico; strengthening; bolt; minimal hurricane; Government radio; residents; forecasters; people; city; position; Hurricane warnings; second hurricane; Forecasters; forecasters
Ben Johnson; steroids; close close; runner; Sept.; Astaphan; Ms. Issajenko; Astaphan; program; Astaphan; Ms. Issajenko; Astaphan; story; bull; Oct.; coach; Ms. Issajenko; Astaphan; interview; Ms. Issajenko
Freshman congressman Larkin Smith; R-Miss; light plane crash; D-Miss; D-Tex; Mississippi; authorities; R-Miss; 300-foot-long path; Charles Vierling; Rep. G. V.; local officials; thick woods; Monday; 35-minute flight; second member; Sonny; fight; Washington; p.m.
false starts; project; England; attempt; Europe; eggs; chants; men; life; men; large men; Feb.; poppy-sprayed ledge; Tunnel Treaty; service; sandbox; construction camp; church spires; residents; featureless blocks
Lt. Guy Zanti; wife; father; efforts; marathon today; Washington; California; naval officer; today; training; April; 29-year-old Zanti; Zanti; battleship Wisconsin; training; father; Frank Zanti; 53-year-old father; Zanti; waters
Turbulence; global diamond markets; Venetia; USDollars 400m; producer-suppliers; leaks; uncertainty; CSO; diamond mine; De Beers; Russian exports; Venetia; forecasts; country; CSO; Venetia; Central Selling Organisation; Venetia; people; area
republic; Slovenia; work; full sovereignty; constitution; mid-July; politicians; factual authority; full international-legal rights; Monday; presidency; declaration; year; attributes; Tanjug; Slovenes; country; sovereign state; state Tanjug news agency; transformation
Reagan administration; drought; top trade official; fragile recovery; drought-driven rally; fears; agriculture-related industries; farm export subsidies; Concern; yesterday; lack; U.S.; Growers; inflation; interagency group; stocks; soybean stockpiles; president; Mr. Fitzwater; disaster relief
Millions; gallons; crude oil; wildlife-rich stretch; tanker; U.S. history; situation; everyone; Dennis Kelso; secret nightmare; concern; oil spill; Alaska; ocean Saturday; oil; oil traffic; authorities; total cargo; Initial reports; impact
Sarah Talbot-Williams; spokeswoman; Confederation; British Industry; Britain; goods; crisis; British diggers; infrastructure; 18-month squabble; year; Europe; competitive market; island; drilling delays; tunnel executives; time; main employers; chunnel-related projects; schedule
Newspaper headlines; Miami; city; subsequent hurricanes; Cleo; people.; thing.; usual.; temperature.; Californians; Pounded; calm defies; mph.; tracks.; technology; low-lying metropolis; Miami; period; winter lull.; long-range forecasters
bovine spongiform encephalopathy; mad cow; disease; animals; New cases; UK; Richard Lacey; Peter Warhurst; new wave; Templeman; public concern; government policy; year; second dairy farmer; Creutzfeld-Jacob Disease; hand-picked advisers; animals; microbiology professor; single case; detailed statement
question; person; anybody; nothing; answer; arithmetic; Senate; question; D-Ala.; congressional reapportionment; effect; Nobody; guesses; point; government; attempt; change; government; states; previous administrations
Rain; humidity; firefighters whip blazes; Western states; long-handled nets; today; 6-day-old fire; New Mexico fire; efforts; Officials; rescue hundreds; rescuers; creek; progress; 20-person crews; Colo.; electric shockers; percent; Gila trout; ash forced biologists
Hurricane Gilbert; record-breaking fury; Caribbean islanders; cover; mob; Interest; reporters; tiny microphones; interviews; schedule; land; large monitor; open roomful; budget analyst; media interviews; Western Hemisphere; calm personality; 33-member crew; fielding media questions; minute
